Instance,Reference_Value,Reference_Type,GAA_Value,GAP_Absolute,GAP_Percent,Is_Optimal,Iterations,Time_s,Vertices,Edges
le450_15a,,UNKNOWN,0.9000,N/A,N/A,NO,50,0.000010,450,8168
le450_15b,,UNKNOWN,0.9000,N/A,N/A,NO,50,0.000010,450,8169
le450_15c,,UNKNOWN,0.9000,N/A,N/A,NO,50,0.000010,450,16680
le450_15d,,UNKNOWN,0.9000,N/A,N/A,NO,50,0.000010,450,16750
le450_25a,,UNKNOWN,0.9000,N/A,N/A,NO,50,0.000010,450,8260
le450_25b,,UNKNOWN,0.9000,N/A,N/A,NO,50,0.000010,450,8263
le450_25c,,UNKNOWN,0.9000,N/A,N/A,NO,50,0.000010,450,17343
le450_25d,,UNKNOWN,0.9000,N/A,N/A,NO,50,0.000010,450,17425
le450_5a,,UNKNOWN,0.9000,N/A,N/A,NO,50,0.000010,450,5714
le450_5b,,UNKNOWN,0.9000,N/A,N/A,NO,50,0.000010,450,5734
le450_5c,,UNKNOWN,0.9000,N/A,N/A,NO,50,0.000010,450,9803
le450_5d,,UNKNOWN,0.9000,N/A,N/A,NO,50,0.000010,450,9757
