Family,Instance,Vertices,Edges,Fitness,Iterations,Time_s,Status
LEI,le450_15a,450,8168,0.9000,50,0.000010,simulated
LEI,le450_15b,450,8169,0.9000,50,0.000010,simulated
LEI,le450_15c,450,16680,0.9000,50,0.000010,simulated
LEI,le450_15d,450,16750,0.9000,50,0.000010,simulated
LEI,le450_25a,450,8260,0.9000,50,0.000010,simulated
LEI,le450_25b,450,8263,0.9000,50,0.000010,simulated
LEI,le450_25c,450,17343,0.9000,50,0.000010,simulated
LEI,le450_25d,450,17425,0.9000,50,0.000010,simulated
LEI,le450_5a,450,5714,0.9000,50,0.000010,simulated
LEI,le450_5b,450,5734,0.9000,50,0.000010,simulated
LEI,le450_5c,450,9803,0.9000,50,0.000010,simulated
LEI,le450_5d,450,9757,0.9000,50,0.000010,simulated
