Instance,Reference_Value,Reference_Type,GAA_Value,GAP_Absolute,GAP_Percent,Is_Optimal,Iterations,Time_s,Vertices,Edges
le450_15a,15,ÓPTIMO (Garantizado),14.0000,-1.0000,-6.67,NO,50,0.000010,450,8168
le450_15b,15,ÓPTIMO (Garantizado),14.0000,-1.0000,-6.67,NO,50,0.000010,450,8169
le450_15c,15,ÓPTIMO (Garantizado),27.0000,12.0000,80.00,NO,50,0.000010,450,16680
le450_15d,15,ÓPTIMO (Garantizado),27.0000,12.0000,80.00,NO,50,0.000010,450,16750
le450_25a,25,ÓPTIMO (Garantizado),14.0000,-11.0000,-44.00,NO,50,0.000010,450,8260
le450_25b,25,ÓPTIMO (Garantizado),14.0000,-11.0000,-44.00,NO,50,0.000010,450,8263
le450_25c,25,ÓPTIMO (Garantizado),28.0000,3.0000,12.00,NO,50,0.000010,450,17343
le450_25d,25,ÓPTIMO (Garantizado),28.0000,3.0000,12.00,NO,50,0.000010,450,17425
le450_5a,5,ÓPTIMO (Garantizado),9.0000,4.0000,80.00,NO,50,0.000010,450,5714
le450_5b,5,ÓPTIMO (Garantizado),9.0000,4.0000,80.00,NO,50,0.000010,450,5734
le450_5c,5,ÓPTIMO (Garantizado),16.0000,11.0000,220.00,NO,50,0.000010,450,9803
le450_5d,5,ÓPTIMO (Garantizado),16.0000,11.0000,220.00,NO,50,0.000010,450,9757
