Family,Instance,Vertices,Edges,Fitness,Iterations,Time_s,Status
DSJ,DSJC1000.1,1000,99258,0.9000,50,0.000010,simulated
DSJ,DSJC1000.5,1000,499652,0.9000,50,0.000010,simulated
DSJ,DSJC1000.9,1000,898898,0.9000,50,0.000010,simulated
DSJ,DSJC125.1,125,1472,0.9000,50,0.000010,simulated
DSJ,DSJC125.5,125,7782,0.9000,50,0.000010,simulated
DSJ,DSJC125.9,125,13922,0.9000,50,0.000010,simulated
DSJ,DSJC250.1,250,6436,0.9000,50,0.000010,simulated
DSJ,DSJC250.5,250,31366,0.9000,50,0.000010,simulated
DSJ,DSJC250.9,250,55794,0.9000,50,0.000010,simulated
DSJ,DSJC500.1,500,24916,0.9000,50,0.000010,simulated
DSJ,DSJC500.5,500,125249,0.9000,50,0.000010,simulated
DSJ,DSJC500.9,500,224874,0.9000,50,0.000010,simulated
DSJ,DSJR500.1,500,7110,0.9000,50,0.000010,simulated
DSJ,DSJR500.1c,500,242550,0.9000,50,0.000010,simulated
DSJ,DSJR500.5,500,117724,0.9000,50,0.000010,simulated
