Instance,Reference_Value,Reference_Type,GAA_Value,GAP_Absolute,GAP_Percent,Is_Optimal,Iterations,Time_s,Vertices,Edges
fpsol2.i.1,65,ÓPTIMO,17.0000,-48.0000,-73.85,NO,50,0.000010,496,11654
fpsol2.i.2,30,ÓPTIMO,14.0000,-16.0000,-53.33,NO,50,0.000010,451,8691
fpsol2.i.3,30,ÓPTIMO,15.0000,-15.0000,-50.00,NO,50,0.000010,425,8688
inithx.i.1,54,ÓPTIMO,16.0000,-38.0000,-70.37,NO,50,0.000010,864,18707
inithx.i.2,31,ÓPTIMO,16.0000,-15.0000,-48.39,NO,50,0.000010,645,13979
inithx.i.3,31,ÓPTIMO,16.0000,-15.0000,-48.39,NO,50,0.000010,621,13969
mulsol.i.1,49,ÓPTIMO,15.0000,-34.0000,-69.39,NO,50,0.000010,197,3925
mulsol.i.2,31,ÓPTIMO,15.0000,-16.0000,-51.61,NO,50,0.000010,188,3885
mulsol.i.3,31,ÓPTIMO,16.0000,-15.0000,-48.39,NO,50,0.000010,184,3916
mulsol.i.4,31,ÓPTIMO,16.0000,-15.0000,-48.39,NO,50,0.000010,185,3946
mulsol.i.5,31,ÓPTIMO,16.0000,-15.0000,-48.39,NO,50,0.000010,186,3973
zeroin.i.1,49,ÓPTIMO,14.0000,-35.0000,-71.43,NO,50,0.000010,211,4100
zeroin.i.2,30,ÓPTIMO,12.0000,-18.0000,-60.00,NO,50,0.000010,211,3541
zeroin.i.3,30,ÓPTIMO,13.0000,-17.0000,-56.67,NO,50,0.000010,206,3540
